Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
MA Starc (KKR/RCB),2014-2024,41,39,831,138.3,1,1137,51,4/15,22.29,8.2,16.29,2,-
M Prasidh Krishna (KKR/RR),2018-2022,51,51,1145,190.5,3,1703,49,4/30,34.75,8.92,23.36,1,-
NM Coulter-Nile (DC/KKR/MI/RR),2013-2022,39,38,857,142.5,1,1100,48,4/14,22.91,7.7,17.85,2,-
JC Archer (MI/RR),2018-2023,40,40,945,157.3,2,1171,48,3/15,24.39,7.43,19.68,-,-
S Nadeem (DC/SRH),2011-2021,72,70,1415,235.5,2,1784,48,3/16,37.16,7.56,29.47,-,-
SB Jakati (CSK/GL/RCB),2009-2017,59,57,1085,180.5,1,1451,47,4/22,30.87,8.02,23.08,2,-
TG Southee (CSK/KKR/MI/RCB/RR),2011-2023,54,54,1206,201.0,2,1742,47,3/20,37.06,8.66,25.65,-,-
LH Ferguson (GT/KKR/RCB/RPS),2017-2024,45,45,955,159.1,1,1426,46,4/28,31.0,8.95,20.76,1,-
S Aravind (RCB),2011-2017,38,38,760,126.4,-,1039,45,4/14,23.08,8.2,16.88,2,-
RJ Harris (DCH/KXIP),2009-2013,37,37,832,138.4,3,1047,45,4/34,23.26,7.55,18.48,1,-
A Kumble (RCB),2008-2010,42,42,965,160.5,1,1058,45,5/5,23.51,6.57,21.44,2,1
VR Aaron (DC/GT/KXIP/RCB/RR),2011-2022,52,50,994,165.4,2,1481,44,3/16,33.65,8.93,22.59,-,-
MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,62,803,133.5,-,1274,43,4/15,29.62,9.51,18.67,1,-
AJ Tye (GL/KXIP/LSG/RR),2017-2022,30,30,684,114.0,-,979,42,5/17,23.3,8.58,16.28,3,1
TU Deshpande (CSK/DC),2020-2024,36,36,773,128.5,-,1243,42,4/27,29.59,9.64,18.4,1,-
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,60,950,158.2,-,1289,42,3/12,30.69,8.14,22.61,-,-
YK Pathan (KKR/RR/SRH),2008-2019,174,82,1147,191.1,1,1415,42,3/20,33.69,7.4,27.3,-,-
R Sharma (DC/DCH/PWI),2010-2014,44,44,928,154.4,1,1086,40,3/13,27.15,7.02,23.2,-,-
Iqbal Abdulla (KKR/RCB/RR),2008-2017,49,48,920,153.2,1,1109,40,3/24,27.72,7.23,23.0,-,-
S Sreesanth (Kochi/KXIP/RR),2008-2013,44,44,880,146.4,4,1190,40,3/29,29.75,8.11,22.0,-,-
P Awana (KXIP),2012-2014,33,33,747,124.3,2,1029,39,4/34,26.38,8.26,19.15,1,-
DT Christian (DC/DCH/RCB/RPS),2011-2021,49,49,883,147.1,-,1192,38,2/10,31.36,8.09,23.23,-,-
PJ Sangwan (DC/GL/GT/KKR/MI),2008-2022,42,42,856,142.4,1,1240,38,3/18,32.63,8.69,22.52,-,-
DE Bollinger (CSK),2010-2012,27,27,576,96.0,3,693,37,4/13,18.72,7.21,15.56,1,-
MR Marsh (DC/DCH/PWI/RPS/SRH),2010-2024,42,34,560,93.2,1,795,37,4/25,21.48,8.51,15.13,2,-
M Markande (MI/RR/SRH),2018-2024,37,37,720,120.0,-,1069,37,4/15,28.89,8.9,19.45,2,-
MS Gony (CSK/DCH/GL/KXIP),2008-2017,44,44,888,148.0,3,1287,37,3/31,34.78,8.69,24.0,-,-
GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,79,944,157.2,1,1303,37,2/15,35.21,8.28,25.51,-,-
Washington Sundar (RCB/RPS/SRH),2017-2024,60,58,1054,175.4,1,1325,37,3/16,35.81,7.54,28.48,-,-
