Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
GH Vihari (DC/SRH),2013-2019,24,7.0,-,42,47,1,1/5,47.0,6.71,42.0,-,-,-
SP Narine (KKR),2012-2024,177,679.1,3,4075,4571,180,5/19,25.39,6.73,22.6,7,1,-
RE van der Merwe (DC/RCB),2009-2013,21,73.5,1,443,498,21,3/20,23.71,6.74,21.0,-,-,-
GR Napier (MI),2009-2009,1,4.0,-,24,27,1,1/27,27.0,6.75,24.0,-,-,-
DL Vettori (DC/RCB),2008-2012,34,129.3,-,777,879,28,3/15,31.39,6.78,27.7,-,-,-
Mohammad Hafeez (KKR),2008-2008,8,10.0,-,60,68,2,1/8,34.0,6.8,30.0,-,-,-
NL McCullum (PWI),2011-2011,2,5.0,-,30,34,-,-,0.0,6.8,-,-,-,-
PD Collingwood (DC),2010-2010,8,14.5,-,89,101,5,2/19,20.2,6.8,17.8,-,-,-
R Rampaul (RCB),2013-2014,12,43.4,4,262,298,14,3/31,21.28,6.82,18.7,-,-,-
Rashid Khan (GT/SRH),2017-2024,121,476.3,4,2859,3252,149,4/24,21.82,6.82,19.1,2,-,-
JW Hastings (CSK/KKR),2014-2016,3,9.4,1,58,66,3,2/6,22.0,6.82,19.3,-,-,-
J Yadav (DC/GT/MI),2015-2023,20,65.0,-,390,445,8,1/8,55.62,6.84,48.7,-,-,-
M Ntini (CSK),2008-2008,9,35.0,2,210,242,7,4/21,34.57,6.91,30.0,1,-,-
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,362.4,7,2176,2508,97,3/8,25.85,6.91,22.4,-,-,-
J Botha (DC/KKR/RR),2009-2015,34,115.4,-,694,800,25,3/6,32.0,6.91,27.7,-,-,-
MJ Santner (CSK),2019-2024,18,61.0,-,366,422,15,2/13,28.13,6.91,24.4,-,-,-
AD Mascarenhas (KXIP/RR),2008-2013,13,51.2,1,308,356,19,5/25,18.73,6.93,16.2,-,1,-
MP Yadav (LSG),2024-2024,4,12.1,-,73,85,7,3/14,12.14,6.98,10.4,-,-,-
