Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date,Scorecard
CSK,216/4,20.0,10.8,1,v RCB,DY Patil,won,12 Apr 2022,Twenty20
SRH,215/6,19.1,11.21,2,v Punjab Kings,Hyderabad,won,19 May 2024,Twenty20
RCB,215/1,20.0,10.75,1,v Daredevils,Delhi,won,17 May 2012,Twenty20
DC,215/5,20.0,10.75,1,v KKR,Brabourne,won,10 Apr 2022,Twenty20
Daredevils,214/3,17.3,12.22,2,v Guj Lions,Delhi,won,4 May 2017,Twenty20
MI,214/4,19.3,10.97,2,v RR,Wankhede,won,30 Apr 2023,Twenty20
RR,214/2,20.0,10.7,1,v SRH,Jaipur,lost,7 May 2023,Twenty20
Punjab Kings,214/8,20.0,10.7,1,v MI,Wankhede,won,22 Apr 2023,Twenty20
LSG,214/6,20.0,10.7,1,v MI,Wankhede,won,17 May 2024,Twenty20
GT,214/4,20.0,10.7,1,v CSK,Ahmedabad,lost,28 May 2023,Twenty20
Punjab Kings,214/3,20.0,10.7,1,v MI,Mohali,lost,3 May 2023,Twenty20
Kings XI,214/8,20.0,10.7,2,v KKR,Indore,lost,12 May 2018,Twenty20
Chargers,214/5,20.0,10.7,1,v RR,Hyderabad,lost,24 Apr 2008,Twenty20
Punjab Kings,214/5,20.0,10.7,1,v SRH,Hyderabad,lost,19 May 2024,Twenty20
LSG,213/4,19.3,10.92,2,v CSK,Chennai,won,23 Apr 2024,Twenty20
RCB,213/4,20.0,10.65,1,v KKR,Eden Gardens,won,19 Apr 2019,Twenty20
LSG,213/9,20.0,10.65,2,v RCB,Bengaluru,won,10 Apr 2023,Twenty20
MI,213/6,20.0,10.65,1,v RCB,Wankhede,won,17 Apr 2018,Twenty20
DC,213/6,20.0,10.65,1,v MI,Wankhede,won,24 Mar 2019,Twenty20
DC,213/2,20.0,10.65,1,v Punjab Kings,Dharamsala,won,17 May 2023,Twenty20
RCB,213/2,20.0,10.65,1,v Guj Lions,Rajkot,won,18 Apr 2017,Twenty20
CSK,212/3,20.0,10.6,1,v SRH,Chennai,won,28 Apr 2024,Twenty20
MI,212/3,20.0,10.6,1,v Daredevils,Delhi,won,6 May 2017,Twenty20
MI,212/6,20.0,10.6,1,v RR,Brabourne,won,13 Mar 2010,Twenty20
RCB,212/2,20.0,10.6,1,v LSG,Bengaluru,lost,10 Apr 2023,Twenty20
