Partners,Runs,Wickets,Team,Opposition,Ground,Match Date,Scorecard
"DA Warner, S Dhawan",137*,1st,SRH,v Guj Lions,Rajkot,21 Apr 2016,Twenty20
"SK Raina, MEK Hussey",137,2nd,CSK,v RR,Chennai,4 May 2011,Twenty20
"AT Rayudu, PA Patel",137,2nd,MI,v Kings XI,Mohali,25 Apr 2016,Twenty20
"V Kohli, F du Plessis",137,1st,RCB,v Punjab Kings,Mohali,20 Apr 2023,Twenty20
"PC Valthaty, AC Gilchrist",136,1st,Kings XI,v Chargers,Hyderabad,16 Apr 2011,Twenty20
"JH Kallis, MS Bisla",136,2nd,KKR,v CSK,Chennai,27 May 2012,Twenty20
"V Kohli, CH Gayle",136,2nd,RCB,v Kings XI,Bengaluru,14 May 2013,Twenty20
"KS Williamson, S Dhawan",136,2nd,SRH,v Daredevils,Hyderabad,19 Apr 2017,Twenty20
"GC Smith, NV Ojha",135,1st,RR,v Kings XI,Durban,5 May 2009,Twenty20
"V Sehwag, DPMD Jayawardene",135,1st,Daredevils,v MI,Delhi,27 Apr 2012,Twenty20
"DA Miller, GJ Maxwell",135,3rd,Kings XI,v CSK,Cuttack,7 May 2014,Twenty20
"KS Williamson, MK Pandey",135,3rd,SRH,v RCB,Bengaluru,17 May 2018,Twenty20
"SR Watson, R Dravid",134*,1st,RR,v MI,Wankhede,20 May 2011,Twenty20
"Shakib Al Hasan, YK Pathan",134*,5th,KKR,v Guj Lions,Eden Gardens,8 May 2016,Twenty20
"KK Nair, Q de Kock",134,3rd,Daredevils,v RCB,Bengaluru,17 Apr 2016,Twenty20
"SR Watson, AT Rayudu",134,1st,CSK,v SRH,Pune,13 May 2018,Twenty20
"KL Rahul, Q de Kock",134,1st,LSG,v CSK,Lucknow,19 Apr 2024,Twenty20
"R Parag, YBK Jaiswal",134,3rd,RR,v SRH,Hyderabad,2 May 2024,Twenty20
"DA Warner, V Shankar",133*,3rd,SRH,v Guj Lions,Kanpur,13 May 2017,Twenty20
"G Gambhir, S Dhawan",133,2nd,Daredevils,v Chargers,Delhi,15 May 2008,Twenty20
"LA Pomersbach, SE Marsh",133,2nd,Kings XI,v MI,Wankhede,21 May 2008,Twenty20
"SE Marsh, JR Hopes",133,1st,Kings XI,v RR,Mohali,28 May 2008,Twenty20
"SK Raina, MEK Hussey",133,2nd,CSK,v SRH,Hyderabad,8 May 2013,Twenty20
"SK Raina, KD Karthik",133,3rd,Guj Lions,v Daredevils,Delhi,4 May 2017,Twenty20
"RG Sharma, KD Karthik",132,3rd,MI,v Daredevils,Wankhede,9 Apr 2013,Twenty20
"Yuvraj Singh, AB de Villiers",132,4th,RCB,v RR,Bengaluru,11 May 2014,Twenty20
"PP Shaw, S Dhawan",132,1st,DC,v KKR,Ahmedabad,29 Apr 2021,Twenty20
"RG Sharma, CJ Anderson",131*,4th,MI,v KKR,Eden Gardens,8 Apr 2015,Twenty20
"DB Ravi Teja, S Dhawan",131,1st,Chargers,v Kings XI,Dharamsala,21 May 2011,Twenty20
"CH Gayle, AB de Villiers",131,4th,RCB,v Kings XI,Mohali,20 Apr 2012,Twenty20
"MK Pandey, JH Kallis",131,2nd,KKR,v MI,Abu Dhabi,16 Apr 2014,Twenty20
"DA Warner, JM Bairstow",131,1st,SRH,v KKR,Hyderabad,21 Apr 2019,Twenty20
"TM Head, Abhishek Sharma",131,1st,SRH,v DC,Delhi,20 Apr 2024,Twenty20
"OA Shah, AD Mathews",130*,5th,KKR,v Chargers,DY Patil,12 Mar 2010,Twenty20
"R Sathish, DA Miller",130*,5th,Kings XI,v RCB,Mohali,6 May 2013,Twenty20
"LMP Simmons, AT Rayudu",130,2nd,MI,v SRH,Hyderabad,12 May 2014,Twenty20
"DA Warner, S Dhawan",130,1st,SRH,v KKR,Visakhapatnam,22 Apr 2015,Twenty20
"SPD Smith, AM Rahane",130,2nd,RR,v DC,Jaipur,22 Apr 2019,Twenty20
